trade_id,datetime_utc,symbol,bitget_symbol,company,direction,entry_price,exit_price,quantity,collateral_usd,trade_volume_usd,fee_usd,gross_pnl_usd,net_pnl_usd,net_return_pct,balance_before,balance_after,z_score,hit_stop_loss,status
PT-rTSLA-0031,2026-07-24 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,LONG,311.33,315.4,8.0301,2500.0,2500.01,3.0,32.68,29.68,1.19,49983.83,50013.51,-2.95,False,WIN
PT-rQQQ-0119,2026-07-24 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,LONG,686.86,691.68,3.6398,2500.0,2500.03,3.0,17.54,14.54,0.58,50013.51,50028.05,-2.08,False,WIN
PT-rSPY-0135,2026-07-24 16:00:00,rSPY,SPYUSDT,SPDR S&P 500 ETF,LONG,740.63,744.17,3.3755,2500.0,2500.0,3.0,11.95,8.95,0.36,50028.05,50037.0,-1.76,False,WIN
PT-rTSLA-0032,2026-07-25 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,LONG,315.4,309.23,7.9264,2500.0,2499.99,3.0,-48.91,-51.91,-2.08,50037.0,49985.09,-2.22,False,LOSS
PT-rNVDA-0004,2026-07-26 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,LONG,197.78,198.38,12.6403,2500.0,2500.0,3.0,7.58,4.58,0.18,49985.09,49989.67,-1.93,False,WIN
PT-rTSLA-0033,2026-07-26 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,LONG,309.23,310.22,8.0846,2500.0,2500.0,3.0,8.0,5.0,0.2,49989.67,49994.67,-2.09,False,WIN
PT-rAAPL-0094,2026-07-26 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,337.18,339.75,7.4144,2500.0,2499.99,3.0,-19.06,-22.06,-0.88,49994.67,49972.61,1.65,False,LOSS
PT-rQQQ-0120,2026-07-26 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,LONG,680.52,679.77,3.6737,2500.0,2500.03,3.0,-2.76,-5.76,-0.23,49972.61,49966.85,-2.17,False,LOSS
PT-rSPY-0136,2026-07-26 16:00:00,rSPY,SPYUSDT,SPDR S&P 500 ETF,LONG,738.3,743.33,3.3862,2500.0,2500.03,3.0,17.03,14.03,0.56,49966.85,49980.88,-1.92,False,WIN
PT-rNVDA-0005,2026-07-27 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,LONG,198.38,192.09,12.6021,2500.0,2500.0,3.0,-87.5,-90.5,-3.62,49980.88,49890.38,-1.98,True,LOSS
PT-rTSLA-0034,2026-07-27 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,LONG,310.22,302.19,8.0588,2500.0,2500.0,3.0,-64.71,-67.71,-2.71,49890.38,49822.67,-1.78,False,LOSS
PT-rAAPL-0095,2026-07-27 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,339.75,341.09,7.3584,2500.0,2500.02,3.0,-9.86,-12.86,-0.51,49822.67,49809.81,1.77,False,LOSS
PT-rQQQ-0121,2026-07-27 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,LONG,679.77,667.3,3.6777,2500.0,2499.99,3.0,-45.86,-48.86,-1.95,49809.81,49760.95,-1.92,False,LOSS
PT-rNVDA-0006,2026-07-28 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,LONG,192.09,193.34,13.0147,2500.0,2499.99,3.0,16.27,13.27,0.53,49760.95,49774.22,-3.59,False,WIN
PT-rTSLA-0035,2026-07-28 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,LONG,302.19,305.77,8.2729,2500.0,2499.99,3.0,29.62,26.62,1.06,49774.22,49800.84,-1.78,False,WIN
PT-rAAPL-0096,2026-07-28 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,341.09,332.04,7.3294,2500.0,2499.99,3.0,66.33,63.33,2.53,49800.84,49864.17,1.77,False,WIN
PT-rQQQ-0122,2026-07-28 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,LONG,667.3,680.79,3.7464,2500.0,2499.97,3.0,50.54,47.54,1.9,49864.17,49911.71,-2.52,False,WIN
PT-rSPY-0137,2026-07-28 16:00:00,rSPY,SPYUSDT,SPDR S&P 500 ETF,LONG,735.14,738.23,3.4007,2500.0,2499.99,3.0,10.51,7.51,0.3,49911.71,49919.22,-2.29,False,WIN
PT-rNVDA-0007,2026-07-29 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,LONG,193.34,196.53,12.9306,2500.0,2500.0,3.0,41.25,38.25,1.53,49919.22,49957.47,-2.52,False,WIN
PT-rNVDA-0008,2026-07-30 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,LONG,196.53,199.41,12.7207,2500.0,2500.0,3.0,36.64,33.64,1.35,49957.47,49991.11,-1.54,False,WIN
PT-rCOIN-0048,2026-07-30 16:00:00,rCOIN,COINUSDT,Coinbase Global Inc.,LONG,141.73,146.62,17.6392,2500.0,2500.0,3.0,86.26,83.26,3.33,49991.11,50074.37,-3.82,False,WIN
PT-rMSTR-0067,2026-07-30 16:00:00,rMSTR,MSTRUSDT,MicroStrategy Inc.,LONG,91.78,93.67,27.239,2500.0,2500.0,3.0,51.48,48.48,1.94,50074.37,50122.85,-1.64,False,WIN
PT-rAAPL-0097,2026-07-30 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,LONG,301.92,308.4,8.2803,2500.0,2499.99,3.0,53.66,50.66,2.03,50122.85,50173.51,-3.31,False,WIN
PT-rCOIN-0049,2026-07-31 16:00:00,rCOIN,COINUSDT,Coinbase Global Inc.,LONG,146.62,146.77,17.0509,2500.0,2500.0,3.0,2.56,-0.44,-0.02,50173.51,50173.07,-2.1,False,LOSS
PT-rAAPL-0098,2026-07-31 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,LONG,308.4,310.33,8.1064,2500.0,2500.01,3.0,15.65,12.65,0.51,50173.07,50185.72,-2.03,False,WIN
PT-rCOIN-0050,2026-08-01 16:00:00,rCOIN,COINUSDT,Coinbase Global Inc.,LONG,146.77,149.33,17.0335,2500.0,2500.01,3.0,-87.5,-90.5,-3.62,50185.72,50095.22,-1.8,True,LOSS
PT-rAAPL-0099,2026-08-01 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,LONG,310.33,304.28,8.0559,2500.0,2499.99,3.0,-48.74,-51.74,-2.07,50095.22,50043.48,-1.7,False,LOSS
PT-rAAPL-0100,2026-08-02 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,LONG,304.28,306.92,8.2161,2500.0,2499.99,3.0,21.69,18.69,0.75,50043.48,50062.17,-2.17,False,WIN
PT-rSPY-0138,2026-08-02 16:00:00,rSPY,SPYUSDT,SPDR S&P 500 ETF,SHORT,756.79,769.41,3.3034,2500.0,2499.98,3.0,-41.69,-44.69,-1.79,50062.17,50017.48,2.28,False,LOSS
PT-rAAPL-0101,2026-08-03 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,LONG,306.92,308.39,8.1454,2500.0,2499.99,3.0,11.97,8.97,0.36,50017.48,50026.45,-1.75,False,WIN
PT-rQQQ-0123,2026-08-03 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,SHORT,719.47,720.83,3.4748,2500.0,2500.01,3.0,-4.73,-7.73,-0.31,50026.45,50018.72,2.16,False,LOSS
PT-rSPY-0139,2026-08-03 16:00:00,rSPY,SPYUSDT,SPDR S&P 500 ETF,SHORT,769.41,771.24,3.2492,2500.0,2499.97,3.0,-5.95,-8.95,-0.36,50018.72,50009.77,4.32,False,LOSS
PT-rNVDA-0009,2026-08-04 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,SHORT,219.18,217.96,11.4062,2500.0,2500.01,3.0,13.92,10.92,0.44,50009.77,50020.69,2.67,False,WIN
PT-rQQQ-0124,2026-08-04 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,SHORT,720.83,716.05,3.4682,2500.0,2499.98,3.0,16.58,13.58,0.54,50020.69,50034.27,2.19,False,WIN
PT-rSPY-0140,2026-08-04 16:00:00,rSPY,SPYUSDT,SPDR S&P 500 ETF,SHORT,771.24,769.36,3.2415,2500.0,2499.97,3.0,6.09,3.09,0.12,50034.27,50037.36,3.35,False,WIN
PT-rNVDA-0010,2026-08-05 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,SHORT,217.96,223.8,11.47,2500.0,2500.0,3.0,-66.98,-69.98,-2.8,50037.36,49967.38,2.05,False,LOSS
PT-rQQQ-0125,2026-08-05 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,SHORT,716.05,723.19,3.4914,2500.0,2500.02,3.0,-24.93,-27.93,-1.12,49967.38,49939.45,1.65,False,LOSS
PT-rSPY-0141,2026-08-05 16:00:00,rSPY,SPYUSDT,SPDR S&P 500 ETF,SHORT,769.36,774.12,3.2495,2500.0,2500.04,3.0,-15.47,-18.47,-0.74,49939.45,49920.98,2.45,False,LOSS
PT-rNVDA-0011,2026-08-06 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,SHORT,223.8,224.15,11.1707,2500.0,2500.0,3.0,-3.91,-6.91,-0.28,49920.98,49914.07,2.59,False,LOSS
PT-rMSTR-0068,2026-08-06 16:00:00,rMSTR,MSTRUSDT,MicroStrategy Inc.,SHORT,101.61,101.62,24.6039,2500.0,2500.0,3.0,-0.25,-3.25,-0.13,49914.07,49910.82,2.22,False,LOSS
PT-rQQQ-0126,2026-08-06 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,SHORT,723.19,723.39,3.4569,2500.0,2500.0,3.0,-0.69,-3.69,-0.15,49910.82,49907.13,2.02,False,LOSS
PT-rSPY-0142,2026-08-06 16:00:00,rSPY,SPYUSDT,SPDR S&P 500 ETF,SHORT,774.12,773.98,3.2295,2500.0,2500.02,3.0,0.45,-2.55,-0.1,49907.13,49904.58,2.51,False,LOSS
PT-rNVDA-0012,2026-08-07 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,SHORT,224.15,225.16,11.1532,2500.0,2499.99,3.0,-11.26,-14.26,-0.57,49904.58,49890.32,2.18,False,LOSS
PT-rMSTR-0069,2026-08-07 16:00:00,rMSTR,MSTRUSDT,MicroStrategy Inc.,SHORT,101.62,103.34,24.6015,2500.0,2500.0,3.0,-42.31,-45.31,-1.81,49890.32,49845.01,1.9,False,LOSS
PT-rQQQ-0127,2026-08-07 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,SHORT,723.39,724.63,3.456,2500.0,2500.04,3.0,-4.29,-7.29,-0.29,49845.01,49837.72,1.77,False,LOSS
PT-rSPY-0143,2026-08-07 16:00:00,rSPY,SPYUSDT,SPDR S&P 500 ETF,SHORT,773.98,774.95,3.2301,2500.0,2500.03,3.0,-3.13,-6.13,-0.25,49837.72,49831.59,2.08,False,LOSS
PT-rNVDA-0013,2026-08-08 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,SHORT,225.16,219.8,11.1032,2500.0,2500.0,3.0,59.51,56.51,2.26,49831.59,49888.1,1.97,False,WIN
PT-rMSTR-0070,2026-08-08 16:00:00,rMSTR,MSTRUSDT,MicroStrategy Inc.,SHORT,103.34,98.15,24.192,2500.0,2500.0,3.0,125.56,122.56,4.9,49888.1,50010.66,2.2,False,WIN
PT-rQQQ-0128,2026-08-08 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,SHORT,724.63,724.26,3.45,2500.0,2499.97,3.0,1.28,-1.72,-0.07,50010.66,50008.94,1.64,False,LOSS
PT-rSPY-0144,2026-08-08 16:00:00,rSPY,SPYUSDT,SPDR S&P 500 ETF,SHORT,774.95,775.16,3.226,2500.0,2499.99,3.0,-0.68,-3.68,-0.15,50008.94,50005.26,1.86,False,LOSS
PT-rSPY-0145,2026-08-09 16:00:00,rSPY,SPYUSDT,SPDR S&P 500 ETF,SHORT,775.16,772.78,3.2251,2500.0,2499.97,3.0,7.68,4.68,0.19,50005.26,50009.94,1.65,False,WIN
PT-rTSLA-0036,2026-08-12 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,SHORT,333.45,339.32,7.4974,2500.0,2500.01,3.0,-87.5,-90.5,-3.62,50009.94,49919.44,1.51,True,LOSS
PT-rQQQ-0129,2026-08-12 16:00:00,rQQQ,QQQUSDT,Invesco QQQ Trust,SHORT,731.15,730.45,3.4193,2500.0,2500.02,3.0,2.39,-0.61,-0.02,49919.44,49918.83,1.54,False,LOSS
PT-rTSLA-0037,2026-08-13 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,SHORT,339.32,342.67,7.3677,2500.0,2500.01,3.0,-24.68,-27.68,-1.11,49918.83,49891.15,1.92,False,LOSS
